titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,first_published,series,genres,url,cover_url,length,rating_range
"Thinking, Fast and Slow",Daniel Kahneman,13196,377741,8.3,499,2011,False,"['Nonfiction', 'Psychology', 'Science']",https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317793965l/11468377.jpg,long,very good
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,2543,64470,8.1,384,1984,False,"['Business', 'Nonfiction', 'Business > Management']",https://www.goodreads.com/book/show/113934.The_Goal,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475538019l/113934._SY475_.jpg,medium,very good
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,3741,262061,8.2,299,2011,False,"['Nonfiction', 'Business > Entrepreneurship', 'Business']",https://www.goodreads.com/book/show/10127019-the-lean-startup,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629999184l/10127019._SY475_.jpg,medium,very good
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,2220,71870,8.1,269,1985,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/81948.The_E_Myth_Revisited,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435673032l/81948._SY475_.jpg,medium,very good
Emotional Intelligence 2.0,Travis Bradberry,1443,76560,7.7,255,2003,False,"['Psychology', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/6486483-emotional-intelligence-2-0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328765863l/6486483.jpg,medium,good
Rework,Jason Fried,4422,151062,7.9,279,2010,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/6732019-rework,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391275636l/6732019.jpg,medium,good
Steve Jobs,Walter Isaacson,19561,1074903,8.3,627,2011,False,"['Biography', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/11084145-steve-jobs,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511288482l/11084145._SY475_.jpg,long,very good
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,14524,744470,8.0,301,2000,False,"['Nonfiction', 'Business', 'Psychology']",https://www.goodreads.com/book/show/2612.The_Tipping_Point,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473396980l/2612._SY475_.jpg,medium,very good
The Richest Man in Babylon,George S. Clason,7634,140395,8.5,194,1926,False,"['Economics > Finance', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/1052.The_Richest_Man_in_Babylon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348336780l/1052.jpg,short,very good
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,5666,113045,8.2,247,2008,False,"['Psychology', 'Nonfiction', 'Economics']",https://www.goodreads.com/book/show/1713426.Predictably_Irrational,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1255573980l/1713426.jpg,medium,very good
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4761,107327,7.9,242,2009,False,"['Nonfiction', 'Business', 'Psychology']",https://www.goodreads.com/book/show/6452796-drive,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348931599l/6452796.jpg,medium,good
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,2921,84822,7.9,291,2006,False,"['Business', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/69242.Made_to_Stick,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402600211l/69242.jpg,medium,good
Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,1578,48329,7.5,160,2003,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/641604.Purple_Cow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309203098l/641604.jpg,short,good
Liar's Poker,Michael Lewis,2400,89892,8.3,310,1989,True,"['Nonfiction', 'Business', 'Economics > Finance']",https://www.goodreads.com/book/show/7865083-liar-s-poker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348906209l/7865083.jpg,medium,very good
The Intelligent Investor,Benjamin Graham,2661,102818,8.4,623,1949,False,"['Economics > Finance', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/106835.The_Intelligent_Investor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409602421l/106835.jpg,long,very good
Strengths Finder 2.0,Tom Rath,2298,51940,7.8,174,2007,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/56454.Strengths_Finder_2_0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440946880l/56454._SX318_.jpg,short,good
"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,766,38361,7.9,272,1998,False,"['Business', 'Leadership', 'Business > Management']",https://www.goodreads.com/book/show/50937.First_Break_All_the_Rules,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442357545l/50937._SY475_.jpg,medium,good
The Art of War,Sun Tzu,13161,381947,7.9,273,2005,False,"['Nonfiction', 'Classics', 'Philosophy']",https://www.goodreads.com/book/show/10534.The_Art_of_War,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630683326l/10534._SY475_.jpg,medium,good
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,2617,67894,8.0,246,2010,False,"['Business', 'Nonfiction', 'Leadership']",https://www.goodreads.com/book/show/6828896-delivering-happiness,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344267716l/6828896.jpg,medium,very good
The Speed of Trust: The One Thing that Changes Everything,Stephen M.R. Covey,774,22997,7.9,384,2006,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/36076.The_Speed_of_Trust,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388190190l/36076.jpg,medium,good
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,1361,62956,7.9,240,1994,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/4898.Blue_Ocean_Strategy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416445924l/4898.jpg,medium,good
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,1270,46213,8.0,286,1997,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/2615.The_Innovator_s_Dilemma,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347654027l/2615.jpg,medium,very good
Built to Last: Successful Habits of Visionary Companies,James C. Collins,735,66814,8.1,368,1994,False,"['Business', 'Nonfiction', 'Leadership']",https://www.goodreads.com/book/show/4122.Built_to_Last,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412047084l/4122.jpg,medium,very good
Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,3294,57568,8.1,240,2001,False,"['Business', 'Nonfiction', 'Leadership']",https://www.goodreads.com/book/show/15014.Crucial_Conversations,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497193248l/15014._SY475_.jpg,medium,very good
Tribes We Need You to Lead Us,Seth Godin,1969,38083,7.6,131,2008,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/5996516-tribes-we-need-you-to-lead-us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349066377l/5996516.jpg,short,good
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,5840,97616,7.9,366,2007,True,"['Nonfiction', 'Economics', 'Philosophy']",https://www.goodreads.com/book/show/242472.The_Black_Swan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925471l/242472.jpg,medium,good
The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,John C. Maxwell,1345,47597,8.3,256,1998,False,"['Leadership', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/815716.The_21_Irrefutable_Laws_of_Leadership,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440064752l/815716._SY475_.jpg,medium,very good
The Big Short: Inside the Doomsday Machine,Michael Lewis,7156,148671,8.5,264,2010,True,"['Nonfiction', 'Business', 'Economics']",https://www.goodreads.com/book/show/6463967-the-big-short,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453470736l/6463967.jpg,medium,very good
Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,2054,68121,7.9,224,1981,False,"['Business', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/313605.Getting_to_Yes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631383737l/313605._SY475_.jpg,medium,good
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4009,92345,8.1,227,2002,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/21343.The_Five_Dysfunctions_of_a_Team,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400841022l/21343.jpg,medium,very good
Founders at Work: Stories of Startups' Early Days,Jessica Livingston,272,27261,7.9,456,2001,False,"['Business', 'Business > Entrepreneurship', 'Nonfiction']",https://www.goodreads.com/book/show/98233.Founders_at_Work,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439953323l/98233._SY475_.jpg,long,good
"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,632,27129,7.7,240,2004,False,"['Business', 'Business > Entrepreneurship', 'Nonfiction']",https://www.goodreads.com/book/show/37875.The_Art_of_the_Start,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433719169l/37875._SY475_.jpg,medium,good
The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,2108,31071,7.6,80,2007,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/324748.The_Dip,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311282216l/324748.jpg,short,good
Linchpin: Are You Indispensable?,Seth Godin,2027,43372,7.7,244,2010,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/7155145-linchpin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442610563l/7155145._SY475_.jpg,medium,good
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,25515,370872,8.1,352,2012,True,"['Nonfiction', 'Psychology', 'Self Help']",https://www.goodreads.com/book/show/8520610-quiet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328562861l/8520610.jpg,medium,very good
Positioning: The Battle for Your Mind: How to Be Seen and Heard in the Overcrowded Marketplace,Al Ries,447,16485,8.0,213,1980,False,"['Business', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/760025.Positioning,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348023850l/760025.jpg,medium,very good
In Search of Excellence,Thomas J. Peters,197,13474,7.8,375,1982,False,"['Business', 'Business > Management', 'Nonfiction']",https://www.goodreads.com/book/show/784268.In_Search_of_Excellence,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388586948l/784268.jpg,medium,good
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,12869,199924,8.9,400,2016,False,"['Business', 'Biography', 'Nonfiction']",https://www.goodreads.com/book/show/27220736-shoe-dog,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457284880l/27220736.jpg,long,very good
When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,751,25846,8.4,264,2000,False,"['Economics > Finance', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/10669.When_Genius_Failed,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435292091l/10669._SY475_.jpg,medium,very good
"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,1695,45764,7.7,309,2005,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/84699.Never_Eat_Alone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320417949l/84699.jpg,medium,good
Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,702,25722,8.0,211,2006,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/61329.Crossing_the_Chasm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421709292l/61329.jpg,medium,very good
All Marketers Are Liars,Seth Godin,558,14842,7.7,240,2005,False,"['Business', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/598888.All_Marketers_Are_Liars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1176155747l/598888._SY475_.jpg,medium,good
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,7424,158980,8.2,256,2009,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/7108725-start-with-why,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360936414l/7108725.jpg,medium,very good
Marketing Management,Philip Kotler,244,5868,8.0,816,1967,False,"['Business', 'Business > Management', 'Nonfiction']",https://www.goodreads.com/book/show/85907.Marketing_Management,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387666193l/85907.jpg,very long,very good
Outliers: The Story of Success,Malcolm Gladwell,28296,645370,8.3,309,2008,False,"['Nonfiction', 'Psychology', 'Business']",https://www.goodreads.com/book/show/3228917-outliers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266315l/3228917.jpg,medium,very good
Moneyball: The Art of Winning an Unfair Game,Michael Lewis,5267,116653,8.4,317,2003,False,"['Nonfiction', 'Sports > Sports', 'Sports > Baseball']",https://www.goodreads.com/book/show/1301.Moneyball,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176510l/1301.jpg,medium,very good
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4662,128025,8.0,270,2009,True,"['Nonfiction', 'Economics', 'Business']",https://www.goodreads.com/book/show/6402364-superfreakonomics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308117804l/6402364.jpg,medium,very good
Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,492,12490,7.9,383,1996,False,"['Economics > Finance', 'History', 'Business']",https://www.goodreads.com/book/show/128429.Against_the_Gods,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541411380l/128429.jpg,medium,good
"Oh, the Places You'll Go!",Dr. Seuss,5659,361708,8.7,44,1990,False,"['Childrens', 'Childrens > Picture Books', 'Fiction']",https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630510695l/191139._SX318_.jpg,very short,very good
The Millionaire Mind,Thomas J. Stanley,402,24317,8.3,416,2001,False,"['Business', 'Economics > Finance', 'Nonfiction']",https://www.goodreads.com/book/show/905092.The_Millionaire_Mind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348890328l/905092.jpg,long,very good
Zig Ziglar's Secrets of Closing the Sale,Zig Ziglar,213,9755,8.3,410,1984,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/578736.Zig_Ziglar_s_Secrets_of_Closing_the_Sale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183639l/578736.jpg,long,very good
Organisational Anatomy,Oleg Konovalov,52,78,9.4,176,2016,False,"['Business', 'Nonfiction', 'Buisness']",https://www.goodreads.com/book/show/29352480-organisational-anatomy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459113862l/29352480.jpg,short,very good
The One Minute Manager,Kenneth H. Blanchard,1848,111758,7.8,111,1981,True,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/763362.The_One_Minute_Manager,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348155441l/763362.jpg,short,good
Business Model Generation,Alexander Osterwalder,768,48222,8.4,273,2010,False,"['Business', 'Business > Entrepreneurship', 'Nonfiction']",https://www.goodreads.com/book/show/7723797-business-model-generation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384676138l/7723797.jpg,medium,very good
Winning,Jack Welch,748,40768,7.7,384,2007,True,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/2818267-winning,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400843227l/2818267.jpg,medium,good
The Greatest Salesman in the World,Og Mandino,1857,58204,8.4,128,1968,True,"['Business', 'Self Help', 'Nonfiction']",https://www.goodreads.com/book/show/356896.The_Greatest_Salesman_in_the_World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631968328l/356896._SY475_.jpg,short,very good
Capitalism and Freedom,Milton Friedman,722,11785,7.8,208,1962,False,"['Economics', 'Politics', 'Nonfiction']",https://www.goodreads.com/book/show/51877.Capitalism_and_Freedom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569784719l/51877._SY475_.jpg,medium,good
"Massive Action Equal Massive Results: Learn the Critical Mental Framework to Focus Your Energy, Reach Your Goals Quicker and Live an Insanely Awesome Life",Sunil Saxena,4,85,8.4,161,2017,False,"['Business', 'Self Help']",https://www.goodreads.com/book/show/36244206-massive-action-equal-massive-results,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505479028l/36244206._SY475_.jpg,short,very good
The Autobiography of Benjamin Franklin,Benjamin Franklin,3177,78210,7.7,143,1791,False,"['Biography', 'History', 'Nonfiction']",https://www.goodreads.com/book/show/52309.The_Autobiography_of_Benjamin_Franklin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428170518l/52309.jpg,short,good
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4474,56637,7.7,129,2001,False,"['Self Help', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/1249006.Eat_That_Frog_,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438615023l/1249006._SY475_.jpg,short,good
You Couldn't Have Told Me Before I Started My Business?,Jeff Roziere,5,16,8.1,82,2013,False,"['Business', 'Nonfiction']",https://www.goodreads.com/book/show/20295332-you-couldn-t-have-told-me-before-i-started-my-business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391029318l/20295332.jpg,short,very good
Secret to Startup Failure: Fail Fast. Fail Cheap. Fail Happy.,Sonia Lin,19,116,7.9,118,2014,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/20505787-secret-to-startup-failure,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389636583l/20505787.jpg,short,good
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,38,4848,8.2,592,1985,False,"['Business', 'Business > Management', 'Economics']",https://www.goodreads.com/book/show/134776.Competitive_Advantage,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347560760l/134776.jpg,long,very good
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,6977,251186,8.3,195,2014,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/18050143-zero-to-one,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630663027l/18050143.jpg,short,very good
The Long Tail: Why the Future of Business is Selling Less of More,Chris Anderson,747,29245,7.6,288,2006,False,"['Business', 'Nonfiction', 'Economics']",https://www.goodreads.com/book/show/2467566.The_Long_Tail,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442430307l/2467566._SY475_.jpg,medium,good
What to Say When You Talk to Your Self,Shad Helmstetter,510,14296,8.2,256,1986,False,"['Self Help', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/769017.What_to_Say_When_You_Talk_to_Your_Self,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348926849l/769017.jpg,medium,very good
Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,1438,37436,8.2,600,2009,False,"['Business', 'Nonfiction', 'Economics > Finance']",https://www.goodreads.com/book/show/6687247-too-big-to-fail,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347504190l/6687247.jpg,long,very good
Difficult Conversations: How to Discuss What Matters Most,Douglas Stone,905,15559,8.1,250,1999,False,"['Nonfiction', 'Business', 'Self Help']",https://www.goodreads.com/book/show/774088.Difficult_Conversations,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404454191l/774088.jpg,medium,very good
Match in the Root Cellar: How You Can Spark a Peak Performance Culture,Chris McGoff,5,22,9.3,526,2018,False,['Business'],https://www.goodreads.com/book/show/37906724-match-in-the-root-cellar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516170843l/37906724.jpg,long,very good
The Secrets of Consulting: A Guide to Giving and Getting Advice Successfully,Gerald M. Weinberg,76,4237,7.8,228,1985,False,"['Business', 'Nonfiction', 'Business > Management']",https://www.goodreads.com/book/show/566213.The_Secrets_of_Consulting,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356140085l/566213.jpg,medium,good
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3589,105080,7.4,593,2005,False,"['Nonfiction', 'History', 'Business']",https://www.goodreads.com/book/show/1911.The_World_Is_Flat,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442191453l/1911._SY475_.jpg,long,good
Free: The Future of a Radical Price,Chris Anderson,655,16372,7.6,288,2009,False,"['Business', 'Nonfiction', 'Economics']",https://www.goodreads.com/book/show/6150530-free,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442784976l/6150530._SY475_.jpg,medium,good
"It Is What It Is, Or Is It....: All About Business",Cathy Snelgrove Jeff Roziere,1,4,8.5,132,2012,False,['Business'],https://www.goodreads.com/book/show/19609450-it-is-what-it-is-or-is-it,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387678094l/19609450.jpg,short,very good
The Extremely Successful Salesman's Club,Chris Murray,22,150,8.3,150,2014,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/20675028-the-extremely-successful-salesman-s-club,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392589117l/20675028.jpg,short,very good
Peopleware: Productive Projects and Teams,Tom DeMarco,492,9394,8.2,245,1987,False,"['Business > Management', 'Business', 'Computer Science > Programming']",https://www.goodreads.com/book/show/67825.Peopleware,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925395l/67825.jpg,medium,very good
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,896,32314,8.1,208,1966,False,"['Business', 'Leadership', 'Business > Management']",https://www.goodreads.com/book/show/48019.The_Effective_Executive,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431792111l/48019._SY475_.jpg,medium,very good
"Great by Choice: Uncertainty, Chaos, and Luck—Why Some Thrive Despite Them All",James C. Collins,688,18401,8.2,183,2011,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/12675109-great-by-choice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328317436l/12675109.jpg,short,very good
The Undercover Economist,Tim Harford,1200,26435,7.6,288,2005,True,"['Economics', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/70420.The_Undercover_Economist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438041608l/70420._SY475_.jpg,medium,good
Launching a Leadership Revolution: Mastering the Five Levels of Influence,Chris Brady,135,2792,8.7,288,2005,False,"['Leadership', 'Business', 'Self Help']",https://www.goodreads.com/book/show/624022.Launching_a_Leadership_Revolution,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266601177l/624022.jpg,medium,very good
The Idea-Driven Organization: Unlocking the Power in Bottom-Up Ideas,Alan G. Robinson,25,164,8.1,240,2014,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/18281880-the-idea-driven-organization,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381324715l/18281880.jpg,medium,very good
Confessions of a Public Speaker,Scott Berkun,271,4497,7.8,240,2009,False,"['Nonfiction', 'Business', 'Language > Communication']",https://www.goodreads.com/book/show/6918930-confessions-of-a-public-speaker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328834973l/6918930.jpg,medium,good
